Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000075,Whitman,Pullman,WA,99163,-117.179120,46.730885
L000076,San Bernardino,Apple Valley,CA,92308,-117.191369,34.464256
L000077,Spokane,Spokane Valley,WA,99037,-117.193798,47.646855
L000078,Spokane,Mica,WA,99023,-117.195710,47.551195
L000079,Spokane,Spokane Valley,WA,99216,-117.212640,47.658775
L000080,Spokane,Waverly,WA,99039,-117.227823,47.342294
L000081,San Diego,San Diego,CA,92106,-117.229395,32.727105
L000082,Whitman,Oakesdale,WA,99158,-117.237843,47.129339
L000083,San Diego,San Diego,CA,92107,-117.243632,32.742267
L000084,Spokane,Spokane Valley,WA,99206,-117.245490,47.653400
L000085,Spokane,Spokane,WA,99036,-117.249287,47.531521
L000086,San Diego,Vista,CA,92083,-117.253434,33.197823
L000087,San Diego,Oceanside,CA,92056,-117.270470,33.214810
L000088,Riverside,Wildomar,CA,92595,-117.273397,33.601530
L000089,Spokane,Mead,WA,99021,-117.279576,47.787455
L000090,Pend Oreille,Usk,WA,99180,-117.280511,48.300119
L000091,Spokane,Elk,WA,99009,-117.280878,48.017241
L000092,San Diego,Oceanside,CA,92057,-117.295294,33.246484
L000093,Spokane,Spokane Valley,WA,99212,-117.308052,47.667462
L000094,Spokane,Chattaroy,WA,99003,-117.309904,47.917899
L000095,Spokane,Spokane,WA,99217,-117.316781,47.710060
L000096,Pend Oreille,Cusick,WA,99119,-117.321711,48.520226
L000097,San Diego,Oceanside,CA,92058,-117.353547,33.230939
L000098,Whitman,Colfax,WA,99111,-117.363103,46.878375
L000099,Whitman,Rosalia,WA,99170,-117.366271,47.248041
L000100,San Diego,Oceanside,CA,92051,-117.368035,33.199215
L000101,Spokane,Spokane,WA,99223,-117.369705,47.626370
L000102,Spokane,Colbert,WA,99005,-117.370445,47.828001
L000103,Spokane,Spokane,WA,99202,-117.383045,47.661935
L000104,Spokane,Spangle,WA,99031,-117.385127,47.445344
L000105,Spokane,Spokane,WA,99207,-117.387659,47.686036
L000106,Spokane,Spokane,WA,99203,-117.402924,47.630410
L000107,Spokane,Spokane,WA,99208,-117.407250,47.718625
L000108,Pend Oreille,Ione,WA,99139,-117.413548,48.722493
L000109,Spokane,Spokane,WA,99218,-117.415751,47.759305
L000110,Spokane,Spokane,WA,99205,-117.426940,47.679460
L000111,Spokane,Spokane,WA,99204,-117.431670,47.647240
L000112,Spokane,Spokane,WA,99201,-117.431895,47.667155
L000113,Spokane,Deer Park,WA,99006,-117.467546,47.953118
L000114,Spokane,Spokane,WA,99224,-117.488084,47.632065
L000115,Stevens,Clayton,WA,99110,-117.559435,47.996831
L000116,Orange,Trabuco Canyon,CA,92679,-117.579636,33.633329
L000117,Whitman,St John,WA,99171,-117.580933,47.087155
L000118,Spokane,Cheney,WA,99004,-117.583610,47.495131
L000119,Spokane,Airway Heights,WA,99001,-117.587865,47.645100
L000120,Garfield,Pomeroy,WA,99347,-117.600890,46.473565
L000121,Stevens,Nine Mile Falls,WA,99026,-117.609870,47.804780
L000122,San Diego,San Clemente,CA,92672,-117.614409,33.425641
L000123,Stevens,Loon Lake,WA,99148,-117.626102,48.087658
L000124,Spokane,Fairchild Air Force Base,WA,99011,-117.655624,47.630736
L000125,Kern,Ridgecrest,CA,93555,-117.672280,35.620730
L000126,Spokane,Medical Lake,WA,99022,-117.680927,47.587165
L000127,Whitman,Endicott,WA,99125,-117.684889,46.928253
L000128,Orange,Lake Forest,CA,92630,-117.709218,33.630186
L000129,Stevens,Chewelah,WA,99109,-117.719726,48.280008
L000130,Stevens,Valley,WA,99181,-117.726205,48.175140
L000131,Orange,Irvine,CA,92620,-117.746190,33.704680
L000132,Orange,Irvine,CA,92618,-117.746662,33.665032
