Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000438,King,Milton,WA,98354,POINT (-122.31774 47.246525),-122.31774,47.246525
L000439,King,Seattle,WA,98115,POINT (-122.3185 47.67949),-122.3185,47.67949
L000440,Snohomish,Everett,WA,98206,POINT (-122.319018929 48.01306),-122.319018929,48.01306
L000441,King,Seattle,WA,98105,POINT (-122.319115 47.66132),-122.319115,47.66132
L000442,King,Seatac,WA,98198,POINT (-122.3219166 47.4013897),-122.3219166,47.4013897
L000443,King,Seattle,WA,98102,POINT (-122.32226 47.64058),-122.32226,47.64058
L000444,Whatcom,Nooksack,WA,98276,POINT (-122.3239486 48.9260491),-122.3239486,48.9260491
L000445,Snohomish,Stanwood,WA,98292,POINT (-122.326873 48.2144825),-122.326873,48.2144825
L000446,King,Seattle,WA,98108,POINT (-122.3268963 47.5499519),-122.3268963,47.5499519
L000447,King,Des Moines,WA,98148,POINT (-122.32863 47.46233),-122.32863,47.46233
L000448,King,Seattle,WA,98124,POINT (-122.329075 47.581125),-122.329075,47.581125
L000449,King,Seattle,WA,98104,POINT (-122.329075 47.6018),-122.329075,47.6018
L000450,King,Seattle,WA,98134,POINT (-122.329815 47.57981),-122.329815,47.57981
L000451,Skagit,Burlington,WA,98233,POINT (-122.33079 48.474765),-122.33079,48.474765
L000452,King,Seattle,WA,98164,POINT (-122.332305 47.605467),-122.332305,47.605467
L000453,King,Seattle,WA,98101,POINT (-122.335345 47.61079),-122.335345,47.61079
L000454,Snohomish,Edmonds,WA,98026,POINT (-122.335685 47.80372),-122.335685,47.80372
L000455,Skagit,Mount Vernon,WA,98273,POINT (-122.338975 48.41333),-122.338975,48.41333
L000456,King,Burien,WA,98166,POINT (-122.341345 47.465925),-122.341345,47.465925
L000457,King,Seattle,WA,98121,POINT (-122.344125 47.61546),-122.344125,47.61546
L000458,King,Seattle,WA,98109,POINT (-122.3441532 47.6305366),-122.3441532,47.6305366
L000459,King,Seattle,WA,98133,POINT (-122.34584 47.76726),-122.34584,47.76726
L000460,King,Seattle,WA,98103,POINT (-122.3499053 47.673887),-122.3499053,47.673887
L000461,Clark,Washougal,WA,98671,POINT (-122.35465 45.58359),-122.35465,45.58359
L000462,King,Seattle,WA,98146,POINT (-122.3551826 47.5000521),-122.3551826,47.5000521
L000463,King,Seattle,WA,98106,POINT (-122.3570816 47.5337116),-122.3570816,47.5337116
L000464,Pierce,Fife,WA,98424,POINT (-122.36151 47.241885),-122.36151,47.241885
L000465,Whatcom,Everson,WA,98247,POINT (-122.3616332 48.9071317),-122.3616332,48.9071317
L000466,King,Federal Way,WA,98023,POINT (-122.36363 47.30675),-122.36363,47.30675
L000467,Pierce,Tacoma,WA,98443,POINT (-122.364635 47.19449),-122.364635,47.19449
L000468,King,Seattle,WA,98119,POINT (-122.36731 47.6377681),-122.36731,47.6377681
L000469,King,Shoreline,WA,98177,POINT (-122.3691687 47.7403542),-122.3691687,47.7403542
L000470,King,Seattle,WA,98126,POINT (-122.374105 47.54468),-122.374105,47.54468
